iter	RMSE
0	1671.828258
1	1630.515941
2	1588.288011
3	1549.792343
4	1514.083843
5	1480.300212
6	1449.516193
7	1422.078425
8	1395.998607
9	1370.743997
10	1349.006692
11	1326.842316
12	1308.54654
13	1289.670459
14	1273.94427
15	1258.723077
16	1245.01661
17	1231.694051
18	1220.252766
19	1208.761066
20	1198.231356
21	1188.431508
22	1180.51862
23	1172.870897
24	1165.389196
25	1158.655414
26	1152.15492
27	1146.285453
28	1141.370538
29	1136.776654
30	1132.145799
31	1128.219053
32	1124.550299
33	1121.357498
34	1118.192535
35	1115.089505
36	1112.371805
37	1109.821875
38	1107.802694
39	1105.987875
40	1104.211367
41	1102.397823
42	1100.665189
43	1099.101232
44	1097.506233
45	1096.135505
46	1094.999629
47	1093.725541
48	1092.547106
49	1091.306849
50	1090.369362
51	1089.566994
52	1088.428424
53	1087.398264
54	1086.579101
55	1085.927196
56	1085.560442
57	1084.946938
58	1084.41923
59	1083.737805
60	1083.172199
61	1082.63172
62	1081.889997
63	1081.359063
64	1080.798362
65	1080.327728
66	1079.828295
67	1079.338525
68	1078.78417
69	1078.078745
70	1077.43773
71	1077.0971
72	1076.59846
73	1076.316954
74	1075.960729
75	1075.64134
76	1074.973232
77	1074.28923
78	1073.924092
79	1073.50807
80	1073.196602
81	1072.880165
82	1072.355872
83	1072.129286
84	1072.080717
85	1071.656549
86	1071.585362
87	1071.125557
88	1070.988836
89	1070.666243
90	1070.251159
91	1069.893995
92	1069.373231
93	1069.109625
94	1068.679078
95	1068.378427
96	1068.356808
97	1067.767424
98	1067.595849
99	1067.414881
