iter	Passed	Remaining
0	9	975
1	17	844
2	24	806
3	32	769
4	39	747
5	45	718
6	52	702
7	58	669
8	65	657
9	70	631
10	74	606
11	80	586
12	85	569
13	89	550
14	93	532
15	98	517
16	102	502
17	107	489
18	111	476
19	116	465
20	120	453
21	125	443
22	129	433
23	133	424
24	138	416
25	143	408
26	148	400
27	152	392
28	156	383
29	160	375
30	165	368
31	170	361
32	174	353
33	178	347
34	183	340
35	187	333
36	191	326
37	197	322
38	202	316
39	207	310
40	212	306
41	217	300
42	222	295
43	227	289
44	232	284
45	237	278
46	242	273
47	247	268
48	252	263
49	258	258
50	262	252
51	267	247
52	272	241
53	277	236
54	282	231
55	287	225
56	290	219
57	295	213
58	300	208
59	305	203
60	310	198
61	316	193
62	322	189
63	327	184
64	332	179
65	340	175
66	345	170
67	350	165
68	355	159
69	360	154
70	365	149
71	370	143
72	375	138
73	379	133
74	385	128
75	391	123
76	398	118
77	404	114
78	409	108
79	413	103
80	434	101
81	439	96
82	443	90
83	447	85
84	450	79
85	454	74
86	456	68
87	461	62
88	466	57
89	470	52
90	474	46
91	479	41
92	483	36
93	488	31
94	492	25
95	496	20
96	498	15
97	503	10
98	506	5
99	510	0
